number,CRN,Course,Title,Instructor(s),Times,Credits
965,16012,CMOR 441 002,LINEAR AND INTEGER PROGRAMMING,"Perez Salazar, Sebastian",9:25AM - 10:40AM TR ,3
966,15835,CMOR 451 002,SIM MODELING AND ANALYSIS,"Pang, Guodong",4:00PM - 5:15PM TR ,3
967,15832,CMOR 462 003,OPT METHODS IN FINANCE,"Ma, Shiqian",2:00PM - 4:29PM F ,3
968,15167,CMOR 490 001,UNDERGRAD RESEARCH PROJECTS,"Chan, Jesse", ,1 TO 6
969,15168,CMOR 490 002,UNDERGRAD RESEARCH PROJECTS,"de Hoop, Maarten V.", ,1 TO 6
970,15181,CMOR 490 003,UNDERGRAD RESEARCH PROJECTS,"Heinkenschloss, Matthias", ,1 TO 6
971,15182,CMOR 490 004,UNDERGRAD RESEARCH PROJECTS,"Hicks, Illya V.", ,1 TO 6
972,15183,CMOR 490 005,UNDERGRAD RESEARCH PROJECTS,"Ma, Shiqian", ,1 TO 6
973,15184,CMOR 490 006,UNDERGRAD RESEARCH PROJECTS,"Pang, Guodong", ,1 TO 6
974,15185,CMOR 490 007,UNDERGRAD RESEARCH PROJECTS,"Perez Salazar, Sebastian", ,1 TO 6
975,15186,CMOR 490 008,UNDERGRAD RESEARCH PROJECTS,"Riviere, Beatrice", ,1 TO 6
976,15187,CMOR 490 009,UNDERGRAD RESEARCH PROJECTS,"Schaefer, Andrew", ,1 TO 6
977,15188,CMOR 490 010,UNDERGRAD RESEARCH PROJECTS,"Tapia, Richard A.", ,1 TO 6
978,15175,CMOR 492 001,SENIOR DESIGN PROJECT I,"Hicks, Illya V.",4:00PM - 4:50PM T ,2
979,15180,CMOR 494 001,PEDAGOGY FOR RLAS,"Protasov, Anastasiya N.",8:00AM - 9:15AM MW ,2
980,15170,CMOR 495 001,LOSING THE PRECIOUS FEW,"Tapia, Richard A.",4:00PM - 5:15PM R ,1
981,15171,CMOR 500 001,ANALYSIS,"Kirk, Keegan L.",10:50AM - 12:05PM TR  ,3
982,15515,CMOR 505 001,PARTIAL DIFFERENTIAL EQNS I,"de Hoop, Maarten V.",1:00PM - 1:50PM MWF  ,3
983,15512,CMOR 510 001,MODELING MATHEMATICAL PHYSICS,,1:00PM - 2:15PM TR  ,3
984,15172,CMOR 518 001,APPLICATIONS IN COMP MATH,"Protasov, Anastasiya N.",9:25AM - 10:40AM TR  ,3
985,15474,CMOR 520 001,COMPUTATIONAL SCIENCE,"Chan, Jesse",11:00AM - 11:50AM MWF ,3
986,15447,CMOR 522 001,NUMERICAL ANALYSIS,"Heinkenschloss, Matthias",9:00AM - 9:50AM MWF  ,3
987,15173,CMOR 524 001,ADV NUMERICAL ANALYSIS,,9:00AM - 9:50AM MWF  ,3
988,15521,CMOR 526 001,FINITE ELEMENT METHODS,"Riviere, Beatrice",1:00PM - 2:15PM TR  ,3
989,15174,CMOR 532 001,OPTIMIZATION THEORY,"Tapia, Richard A.",2:00PM - 2:50PM MWF  ,3
990,15449,CMOR 541 001,LINEAR AND INTEGER PROGRAMMING,"Perez Salazar, Sebastian",2:30PM - 3:45PM TR  ,3
991,16010,CMOR 541 002,LINEAR AND INTEGER PROGRAMMING,"Perez Salazar, Sebastian",9:25AM - 10:40AM TR  ,3
992,15836,CMOR 551 002,SIM MODELING AND ANALYSIS,"Pang, Guodong",4:00PM - 5:15PM TR  ,3
993,15650,CMOR 552 001,MATHEMATICAL PROBABILITY I,"Viens, Frederi",2:30PM - 3:45PM TR  ,3
994,15678,CMOR 553 001,INTRO RANDOM PROCESSES & APPL,"Azhang, Behnaam",9:25AM - 10:40AM TR  ,3
995,15451,CMOR 590 001,GRADUATE RESEARCH PROJECTS,"Chan, Jesse",  ,1 TO 15
996,15452,CMOR 590 002,GRADUATE RESEARCH PROJECTS,"de Hoop, Maarten V.",  ,1 TO 15
997,15453,CMOR 590 003,GRADUATE RESEARCH PROJECTS,"Heinkenschloss, Matthias",  ,1 TO 15
998,15454,CMOR 590 004,GRADUATE RESEARCH PROJECTS,"Hicks, Illya V.",  ,1 TO 15
999,15455,CMOR 590 005,GRADUATE RESEARCH PROJECTS,"Ma, Shiqian",  ,1 TO 15
1000,15456,CMOR 590 006,GRADUATE RESEARCH PROJECTS,"Pang, Guodong",  ,1 TO 15
1001,15457,CMOR 590 007,GRADUATE RESEARCH PROJECTS,"Perez Salazar, Sebastian",  ,1 TO 15
1002,15460,CMOR 590 008,GRADUATE RESEARCH PROJECTS,"Riviere, Beatrice",  ,1 TO 15
1003,15461,CMOR 590 009,GRADUATE RESEARCH PROJECTS,"Schaefer, Andrew",  ,1 TO 15
1004,15462,CMOR 590 010,GRADUATE RESEARCH PROJECTS,"Tapia, Richard A.",  ,1 TO 15
1005,15759,CMOR 615 001,THEORETICAL NEUROSCIENCE,"Flynn, Jonathan R.",11:00AM - 11:55AM MWF ,3
1006,15463,CMOR 800 001,RESEARCH AND THESIS,"Chan, Jesse",  ,1 TO 15
1007,15464,CMOR 800 002,RESEARCH AND THESIS,"de Hoop, Maarten V.",  ,1 TO 15
1008,15465,CMOR 800 003,RESEARCH AND THESIS,"Heinkenschloss, Matthias",  ,1 TO 15
1009,15466,CMOR 800 004,RESEARCH AND THESIS,"Hicks, Illya V.",  ,1 TO 15
1010,15467,CMOR 800 005,RESEARCH AND THESIS,"Ma, Shiqian",  ,1 TO 15
1011,15468,CMOR 800 006,RESEARCH AND THESIS,"Pang, Guodong",  ,1 TO 15
1012,15469,CMOR 800 007,RESEARCH AND THESIS,"Perez Salazar, Sebastian",  ,1 TO 15
1013,15470,CMOR 800 008,RESEARCH AND THESIS,"Riviere, Beatrice",  ,1 TO 15
1014,15471,CMOR 800 009,RESEARCH AND THESIS,"Schaefer, Andrew",  ,1 TO 15
1015,15472,CMOR 800 010,RESEARCH AND THESIS,"Tapia, Richard A.",  ,1 TO 15
1016,12973,CMST 201 001,HISTORY OF CINEMA AND MEDIA I,"Blumenthal-Barby, Martin",2:30PM - 3:45PM TR ,3
1017,12845,CMST 203 001,INTRODUCTION TO FILM ANALYSIS,"Oukaderova, Lida",4:00PM - 5:15PM MW ,3
1018,15585,COLL 108 001,STAND-UP FOR YOURSELF,"Zimmerman, Carissa A.Kasner, JacobTaylor, Connor M.",7:00PM - 7:50PM R ,1
1019,15611,COLL 114 001,A LINGUISTIC TAKE ON CONLANGS,"Zimmerman, Carissa A.Katz, Zoe R.",7:00PM - 7:50PM W ,1
1020,15588,COLL 118 001,ZERO TO FORTUNE 500,"Zimmerman, Carissa A.Stancil, Luke J.",7:00PM - 7:50PM M ,1
1021,15581,COLL 153 001,CINEMA AND THE INTERNET,"Zimmerman, Carissa A.Bedawi, Basma A.",7:00PM - 7:50PM R ,1
1022,15586,COLL 156 001,MUSIC THAT DEFINED A CULTURE,"Zimmerman, Carissa A.Reko, John D.",8:00PM - 8:50PM R ,1
1023,15587,COLL 167 001,TAYLOR SWIFT LYRICAL EVOLUTION,"Zimmerman, Carissa A.Jeng, Katherine S.",7:00PM - 7:50PM W ,1
1024,15582,COLL 169 001,LEGAL INTERPRETATION,"Zimmerman, Carissa A.Fantine, Brandon J.",5:00PM - 5:50PM T ,1
1025,15583,COLL 172 001,THE PERFECT HAIRCUT,"Zimmerman, Carissa A.Huang, Caleb D.",8:00PM - 8:50PM R ,1
1026,15584,COLL 175 001,THE ALCHEMY OF ART,"Zimmerman, Carissa A.Li, Hannah X.",6:00PM - 6:50PM R ,1
1027,15602,COLL 178 001,A CUP OF CULTURE,"Zimmerman, Carissa A.Bitz, Matthew L.",7:00PM - 7:50PM T ,1
1028,15608,COLL 179 001,"EAT, PRAY, LATKE","Zimmerman, Carissa A.Rosen, Taylor M.",8:00PM - 8:50PM W ,1
1029,15603,COLL 180 001,STORYTELLING IN GAMES,"Zimmerman, Carissa A.Yennu, Meghna D.",7:00PM - 7:50PM M ,1
1030,15604,COLL 183 001,INTRO TO DJING,"Zimmerman, Carissa A.Mayer, Paul M.",6:00PM - 6:50PM W ,1
1031,15605,COLL 184 001,FUNCTIONAL FIBER ARTS,"Zimmerman, Carissa A.Subramanian, Priyanka",7:00PM - 7:50PM R ,1
1032,15800,COLL 185 002,EAST ASIA TELEVISION,"Zimmerman, Carissa A.Vallishayee, Rijuta",6:00PM - 6:50PM M ,1
1033,15607,COLL 186 001,DEAD IN AMERICA-A CRASH COURSE,"Zimmerman, Carissa A.Pawawongsak, Tanya",7:00PM - 7:50PM W ,1
1034,15609,COLL 188 001,PHOTO BOOKS SINCE 1960,"Zimmerman, Carissa A.Li, Aiden",6:00PM - 6:50PM M ,1
1035,15610,COLL 189 001,BRIDGING ACADEMIA AND ACTIVISM,"Zimmerman, Carissa A.Kinzy, Tyler D.",7:00PM - 7:50PM T ,1
1036,10343,COLL 200 001,TEACHING PRACTICUM - BAKER,"Duno-Gottberg, Luis", ,1
1037,10344,COLL 200 002,TEACHING PRACTICUM - BROWN,"Fregly, BJ", ,1
1038,10345,COLL 200 003,TEACHING PRACTICUM - DUNCAN,"King, Eden B.", ,1
1039,10346,COLL 200 004,TEACHING PRACTICUM - HANSZEN,"Lopez Duran, Maria Fabiola", ,1
1040,10347,COLL 200 005,TEACHING PRACTICUM - JONES,"Ball, Zachary T.", ,1
