number,CRN,Course,Title,Instructor(s),Times,Credits
0,12847,AAAS 600 901,AF & AFAM STUDIES COLLOQUIUM,"Fleisher, Jeffrey B.",  ,0
1,10304,AFSC 101 002,FOUNDATION OF THE USAF I,,12:00PM - 12:50PM W 2:30PM - 4:30PM W ,2
2,11113,AFSC 101 004,FOUNDATION OF THE USAF I,,8:00AM - 9:00AM T 2:30PM - 4:30PM W ,2
3,10305,AFSC 201 001,EVOLUTION OF AIR POWER I,,1:00PM - 1:50PM W 2:30PM - 4:30PM W ,2
4,10307,AFSC 301 001,AIR FORCE LEADERSHIP STUDY I,,8:00AM - 11:00AM W 2:30PM - 4:30PM W ,3
5,10308,AFSC 401 001,NATIONAL SECURITY AFFAIRS I,,10:00AM - 1:00PM W 2:30PM - 4:30PM W ,3
6,15814,AMCI 400 001,AMC HONORS THESIS,"Somerville, Ted", ,3
7,12948,ANTH 200 003,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline Q.",9:25AM - 10:40AM TR  ,3
8,12254,ANTH 203 001,INTRO BIOLOGICAL ANTHROPOLOGY,"Dominguez Rodrigo, Manuel",1:00PM - 2:15PM TR ,3
9,10715,ANTH 205 001,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR ,3
10,15229,ANTH 303 001,INTRO ARCHAEOLOGY SCIENCE,"Prendergast, Mary E.",10:50AM - 12:05PM TR ,3
11,15230,ANTH 315 001,ZOOARCHAEOLOGY,"Prendergast, Mary E.",12:00PM - 12:50PM F 2:30PM - 5:00PM T ,4
12,13894,ANTH 317 001,REVOLUTIONS AND UTOPIAS,"Boyer, Dominic C.",12:00PM - 2:30PM F ,3
13,15232,ANTH 321 001,SOCIAL LIFE OF DNA,"Massie, Victoria M.",1:00PM - 3:30PM R ,3
14,10414,ANTH 324 001,DOCUMENTARY PRODUCTION,"Huberman, Brian M.",2:30PM - 5:29PM R ,3
15,15234,ANTH 340 001,NEOLIBERALISM & GLOBALIZATION,"Boyer, Dominic C.",12:00PM - 2:29PM M ,3
16,13898,ANTH 344 002,CITY/CULTURE,"Gunel, Gokce",4:00PM - 6:30PM T ,3
17,15682,ANTH 346 001,QUEER ARCHAEOLOGY,"Morgan, Molly",4:00PM - 6:30PM W ,3
18,15236,ANTH 348 001,ANTHROPOLOGIES OF NATURE,"Howe, Cymene",4:00PM - 6:30PM W ,3
19,15238,ANTH 381 001,MEDICAL ANTHROPOLOGY,"Massie, Victoria M.",1:00PM - 3:30PM W ,3
20,15240,ANTH 392 001,ANCIENT MESOAMERICA,"Morgan, Molly",2:00PM - 3:15PM WF ,3
21,15561,ANTH 402 001,US-MEXICO RESEARCH EXPERIENCE,"Georges, Eugenia",4:00PM - 6:30PM R ,3
22,13905,ANTH 404 002,INDEPENDENT STUDY,"Massie, Victoria M.", ,1 TO 9
23,13906,ANTH 404 003,INDEPENDENT STUDY,"Georges, Eugenia", ,1 TO 9
24,12141,ANTH 404 004,INDEPENDENT STUDY,"Howe, Cymene", ,1 TO 9
25,13907,ANTH 404 005,INDEPENDENT STUDY,"Estrella, Amarilys", ,1 TO 9
26,13908,ANTH 404 007,INDEPENDENT STUDY,"Visweswaran, Kamala", ,1 TO 9
27,12142,ANTH 404 008,INDEPENDENT STUDY,"Boyer, Dominic C.", ,1 TO 9
28,15241,ANTH 404 009,INDEPENDENT STUDY,"Gershon, Ilana", ,1 TO 9
29,10229,ANTH 404 010,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", ,1 TO 9
30,12639,ANTH 404 011,INDEPENDENT STUDY,"Morgan, Molly", ,1 TO 9
31,12143,ANTH 404 012,INDEPENDENT STUDY,"Gunel, Gokce", ,1 TO 9
32,12850,ANTH 404 013,INDEPENDENT STUDY,"Prendergast, Mary E.", ,1 TO 9
33,15242,ANTH 428 001,FEMINIST STS,"Visweswaran, Kamala",4:00PM - 6:30PM M ,3
34,15526,ANTH 477 001,"BUREAUCRACY, BORDER, BELONGING","Kim, Dodom",10:50AM - 12:05PM TR ,3
35,13913,ANTH 490 002,DIRECTED HONORS RESEARCH,"Massie, Victoria M.", ,1 TO 3
36,13914,ANTH 490 003,DIRECTED HONORS RESEARCH,"Georges, Eugenia", ,1 TO 3
37,12144,ANTH 490 004,DIRECTED HONORS RESEARCH,"Howe, Cymene", ,1 TO 3
38,13915,ANTH 490 005,DIRECTED HONORS RESEARCH,"Estrella, Amarilys", ,1 TO 3
39,13916,ANTH 490 007,DIRECTED HONORS RESEARCH,"Visweswaran, Kamala", ,1 TO 3
40,12145,ANTH 490 008,DIRECTED HONORS RESEARCH,"Boyer, Dominic C.", ,1 TO 3
41,15244,ANTH 490 009,DIRECTED HONORS RESEARCH,"Gershon, Ilana", ,1 TO 3
42,10284,ANTH 490 010,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", ,1 TO 3
43,12146,ANTH 490 011,DIRECTED HONORS RESEARCH,"Morgan, Molly", ,1 TO 3
44,12147,ANTH 490 012,DIRECTED HONORS RESEARCH,"Gunel, Gokce", ,1 TO 3
45,12851,ANTH 490 013,DIRECTED HONORS RESEARCH,"Prendergast, Mary E.", ,1 TO 3
46,11688,ANTH 493 001,SENIOR RESEARCH PREPARATION,"Prendergast, Mary E.Parker, Stephanie",12:00PM - 1:15PM M ,1
47,15562,ANTH 503 001,ARCHAEOLOGICAL SCIENCE,"Prendergast, Mary E.",10:50AM - 12:05PM TR  ,3
48,15245,ANTH 506 001,HIST OF ANTHROPOLOGICAL IDEAS,"Gershon, Ilana",1:00PM - 3:29PM T  ,3
49,15231,ANTH 515 001,ZOOARCHAEOLOGY,"Prendergast, Mary E.",12:00PM - 12:50PM F 2:30PM - 5:00PM T  ,4
50,13895,ANTH 517 001,REVOLUTIONS AND UTOPIAS,"Boyer, Dominic C.",12:00PM - 2:30PM F  ,3
51,15233,ANTH 521 001,SOCIAL LIFE OF DNA,"Massie, Victoria M.",1:00PM - 3:30PM R  ,3
52,15235,ANTH 540 001,NEOLIBERALISM & GLOBALIZATION,"Boyer, Dominic C.",12:00PM - 2:29PM M  ,3
53,13899,ANTH 544 002,CITY/CULTURE,"Gunel, Gokce",4:00PM - 6:30PM T ,3
54,15689,ANTH 546 001,QUEER ARCHAEOLOGY,"Morgan, Molly",4:00PM - 6:30PM W  ,3
55,15237,ANTH 548 001,ANTHROPOLOGIES OF NATURE,"Howe, Cymene",4:00PM - 6:30PM W  ,3
56,15239,ANTH 581 001,MEDICAL ANTHROPOLOGY,"Massie, Victoria M.",1:00PM - 3:30PM W  ,3
57,15560,ANTH 592 001,MESOAMERICAN ARCHAEOLOGY,"Morgan, Molly",2:00PM - 3:15PM WF  ,3
58,13917,ANTH 600 002,INDEPENDENT STUDY,"Massie, Victoria M.",  ,1 TO 9
59,13918,ANTH 600 003,INDEPENDENT STUDY,"Georges, Eugenia",  ,1 TO 9
60,11142,ANTH 600 004,INDEPENDENT STUDY,"Howe, Cymene",  ,1 TO 9
61,13919,ANTH 600 005,INDEPENDENT STUDY,"Estrella, Amarilys",  ,1 TO 9
62,12817,ANTH 600 007,INDEPENDENT STUDY,"Visweswaran, Kamala",  ,1 TO 9
63,10285,ANTH 600 008,INDEPENDENT STUDY,"Boyer, Dominic C.",  ,1 TO 9
64,15246,ANTH 600 009,INDEPENDENT STUDY,"Gershon, Ilana",  ,1 TO 9
65,10230,ANTH 600 010,INDEPENDENT STUDY,"Fleisher, Jeffrey B.",  ,1 TO 9
66,12148,ANTH 600 012,INDEPENDENT STUDY,"Gunel, Gokce",  ,1 TO 9
67,12853,ANTH 600 013,INDEPENDENT STUDY,"Prendergast, Mary E.",  ,1 TO 9
68,12544,ANTH 601 001,GR PROSEMINAR IN ANTHROPOLOGY,"Howe, Cymene",4:00PM - 6:30PM R  ,3
69,15243,ANTH 628 001,FEMINIST STS,"Visweswaran, Kamala",4:00PM - 6:30PM M  ,3
70,15527,ANTH 677 001,"BUREAUCRACY, BORDER, BELONGING","Kim, Dodom",10:50AM - 12:05PM TR  ,3
71,13920,ANTH 800 002,RESEARCH AND THESIS,"Massie, Victoria M.",  ,3 TO 9
72,11225,ANTH 800 003,RESEARCH AND THESIS,"Georges, Eugenia",  ,3 TO 9
73,10071,ANTH 800 004,RESEARCH AND THESIS,"Howe, Cymene",  ,3 TO 9
74,13921,ANTH 800 005,RESEARCH AND THESIS,"Estrella, Amarilys",  ,3 TO 9
75,13591,ANTH 800 007,RESEARCH AND THESIS,"Visweswaran, Kamala",  ,3 TO 9
76,11227,ANTH 800 008,RESEARCH AND THESIS,"Boyer, Dominic C.",  ,3 TO 9
77,15247,ANTH 800 009,RESEARCH AND THESIS,"Gershon, Ilana",  ,3 TO 9
78,11228,ANTH 800 010,RESEARCH AND THESIS,"Fleisher, Jeffrey B.",  ,3 TO 9
79,12149,ANTH 800 012,RESEARCH AND THESIS,"Gunel, Gokce",  ,3 TO 9
80,12854,ANTH 800 013,RESEARCH AND THESIS,"Prendergast, Mary E.",  ,3 TO 9
81,11556,APPL 007 001,VISITING RESEARCH,"Hazzard, Kaden", ,0
82,11557,APPL 007 002,VISITING RESEARCH,"Zhu, Hanyu", ,0
83,11558,APPL 007 003,VISITING RESEARCH,"Igoshin, Oleg", ,0
84,11559,APPL 007 004,VISITING RESEARCH,"Pimpinelli, Alberto F.", ,0
85,12037,APPL 007 005,VISITING RESEARCH,"Hazzard, Kaden", ,0
86,12038,APPL 007 006,VISITING RESEARCH,"Igoshin, Oleg", ,0
87,12039,APPL 007 007,VISITING RESEARCH,"Zhu, Hanyu", ,0
88,14944,APPL 500 001,INTRO APPL PHYS,"Kono, Junichiro",12:00PM - 1:30PM M  ,3
89,11739,APPL 750 701,INTERNATIONAL RESEARCH INTERN,"Kono, Junichiro",  ,3
90,10427,APPL 800 001,RESEARCH AND THESIS,"Tkaczyk, Tomasz",  ,1 TO 15
91,10779,APPL 800 002,RESEARCH AND THESIS,"Kemere, Caleb T.",  ,1 TO 15
92,10780,APPL 800 003,RESEARCH AND THESIS,"Nevidomskyy, Andriy",  ,1 TO 15
93,10781,APPL 800 004,RESEARCH AND THESIS,"Raphael, Rob",  ,1 TO 15
94,10782,APPL 800 005,RESEARCH AND THESIS,"Grande-Allen, K. Jane",  ,1 TO 15
95,10783,APPL 800 006,RESEARCH AND THESIS,"Levine, Herbert",  ,1 TO 15
96,10784,APPL 800 007,RESEARCH AND THESIS,"Pitkow, Xaq",  ,1 TO 15
97,10785,APPL 800 008,RESEARCH AND THESIS,"Wong, Michael S.",  ,1 TO 15
98,10786,APPL 800 009,RESEARCH AND THESIS,"Robinson, Jacob T.",  ,1 TO 15
99,10787,APPL 800 010,RESEARCH AND THESIS,"Halas, Naomi",  ,1 TO 15
100,10788,APPL 800 011,RESEARCH AND THESIS,"Kelly, Kevin F.",  ,1 TO 15
101,10789,APPL 800 012,RESEARCH AND THESIS,"Kono, Junichiro",  ,1 TO 15
102,10790,APPL 800 013,RESEARCH AND THESIS,"Han, Yimo",  ,1 TO 15
103,10791,APPL 800 014,RESEARCH AND THESIS,"Mohite, Aditya D.",  ,1 TO 15
104,10792,APPL 800 015,RESEARCH AND THESIS,"Igoshin, Oleg",  ,1 TO 15
105,10793,APPL 800 016,RESEARCH AND THESIS,"Gustavsson, Anna-Karin E.",  ,1 TO 15
106,10794,APPL 800 017,RESEARCH AND THESIS,"Tour, James M.",  ,1 TO 15
107,10795,APPL 800 018,RESEARCH AND THESIS,"Alabastri, Alessandro",  ,1 TO 15
108,10796,APPL 800 019,RESEARCH AND THESIS,"Ajayan, Pulickel M.",  ,1 TO 15
109,10797,APPL 800 020,RESEARCH AND THESIS,"Chen, Songtao",  ,1 TO 15
110,10798,APPL 800 021,RESEARCH AND THESIS,"Zhu, Hanyu",  ,1 TO 15
111,14376,APPL 800 022,RESEARCH AND THESIS,"Natelson, Doug",  ,1 TO 15
112,10799,APPL 800 023,RESEARCH AND THESIS,"Hulet, Randy",  ,1 TO 15
113,10800,APPL 800 024,RESEARCH AND THESIS,"Szablowski, Jerzy",  ,1 TO 15
114,10801,APPL 800 025,RESEARCH AND THESIS,"Killian, Thomas C.",  ,1 TO 15
115,10802,APPL 800 026,RESEARCH AND THESIS,"Nordlander, Peter J.",  ,1 TO 15
116,10803,APPL 800 027,RESEARCH AND THESIS,"Landes, Christy F.",  ,1 TO 15
117,10926,APPL 800 028,RESEARCH AND THESIS,"Naik, Gururaj V.",  ,1 TO 15
118,10927,APPL 800 029,RESEARCH AND THESIS,"Veeraraghavan, Ashok",  ,1 TO 15
119,10928,APPL 800 030,RESEARCH AND THESIS,"Luan, Lan",  ,1 TO 15
120,10929,APPL 800 031,RESEARCH AND THESIS,"Link, Stephan",  ,1 TO 15
121,11114,APPL 800 032,RESEARCH AND THESIS,"Wolynes, Peter",  ,1 TO 15
122,11179,APPL 800 033,RESEARCH AND THESIS,"Morosan, Emilia",  ,1 TO 15
123,11528,APPL 800 034,RESEARCH AND THESIS,"Kolomeisky, Anatoly B.",  ,1 TO 15
124,11560,APPL 800 035,RESEARCH AND THESIS,"Pagano, Guido", ,1 TO 15
125,13559,APPL 800 036,RESEARCH AND THESIS,"Xie, Chong",  ,1 TO 15
126,13560,APPL 800 037,RESEARCH AND THESIS,"Verduzco, Rafael",  ,1 TO 15
127,13561,APPL 800 038,RESEARCH AND THESIS,"Yi, Ming",  ,1 TO 15
128,14377,APPL 800 039,RESEARCH AND THESIS,"Chan, Anthony A.",  ,1 TO 15
129,14378,APPL 800 040,RESEARCH AND THESIS,"Tang, Ming",  ,1 TO 15
130,15069,APPL 800 041,RESEARCH AND THESIS,"Huang, Shengxi",  ,1 TO 15
131,15248,APPL 800 042,RESEARCH AND THESIS,"Baraniuk, Richard G",  ,1 TO 15
132,15249,APPL 800 043,RESEARCH AND THESIS,"Vlassakis, Julea",  ,1 TO 15
133,11494,ARAB 141 001,FIRST YEAR ARABIC I,"Elsherbiny, Hossam A.",9:00AM - 9:50AM MWF ,3
134,11589,ARAB 263 001,SECOND YEAR ARABIC I,"Elsherbiny, Hossam A.",10:00AM - 10:50AM MWF ,3
135,14251,ARAB 301 001,THIRD YEAR ARABIC I,"Elsherbiny, Hossam A.",11:00AM - 11:50AM MWF ,3
136,10368,ARCH 101 001,PRINCIPLES OF ARCHITECTURE I,,1:00PM - 5:00PM MWF ,6
137,14901,ARCH 101 002,PRINCIPLES OF ARCHITECTURE I,,1:00PM - 5:00PM MWF ,6
138,10632,ARCH 105 001,"ENVIRONMENT, CULTURE & SOCIETY","Moore, Sophie",10:50AM - 12:05PM TR ,3
139,15078,ARCH 105 002,"ENVIRONMENT, CULTURE & SOCIETY","Moore, Sophie",10:50AM - 12:05PM T 10:50AM - 12:05PM R ,3
140,15080,ARCH 105 003,"ENVIRONMENT, CULTURE & SOCIETY","Moore, Sophie",10:50AM - 12:05PM T 10:50AM - 12:05PM R ,3
141,15082,ARCH 105 004,"ENVIRONMENT, CULTURE & SOCIETY","Moore, Sophie",10:50AM - 12:05PM T 10:50AM - 12:05PM R ,3
142,10041,ARCH 201 001,PRINCIPLES OF ARCHITECTURE III,,1:00PM - 5:00PM MWF ,6
143,11513,ARCH 201 002,PRINCIPLES OF ARCHITECTURE III,,1:00PM - 5:00PM MWF ,6
144,13922,ARCH 201 003,PRINCIPLES OF ARCHITECTURE III,,1:00PM - 5:00PM MWF ,6
145,13625,ARCH 207 001,TECHNOLOGY I,,1:00PM - 2:15PM TR ,3
146,11361,ARCH 225 001,INTRO ARCHITECTURAL THINKING,"Geiser, Reto",9:25AM - 10:40AM TR ,3
147,10042,ARCH 301 001,INTERMEDIATE PROBLEMS ARCH I,,1:00PM - 5:00PM MWF ,6
148,11514,ARCH 301 002,INTERMEDIATE PROBLEMS ARCH I,,1:00PM - 5:00PM MWF ,6
149,12808,ARCH 311 001,HOUSTON ARCHITECTURE,"Fox, Stephen",1:00PM - 2:15PM TR ,3
150,12063,ARCH 314 001,TECHNOLOGY III,,4:00PM - 5:15PM TR ,3
151,13660,ARCH 346 001,FOUNDATIONS IN ARCH II,,10:50AM - 12:05PM TR ,3
152,14716,ARCH 400 001,ARCH UNDERGRAD INTERNSHIP,"Geiser, Reto", ,1 TO 4
153,10044,ARCH 401 001,ADVANCED TOPICS ARCHITECTURE,,1:00PM - 5:00PM MWF ,6
154,11515,ARCH 401 002,ADVANCED TOPICS ARCHITECTURE,,1:00PM - 5:00PM MWF ,6
155,12071,ARCH 423 001,PROF&MGMT IN ARCH PRACTICE,"Fleishacker, Alan L.",2:30PM - 3:45PM TR ,3
156,10045,ARCH 461 001,SPECIAL PROJECTS,"Geiser, Reto", ,1 TO 9
157,10720,ARCH 500 0F1,PRECEPTORSHIP PROGRAM,"Casbarian, John J.",  ,15
158,10046,ARCH 501 001,CORE DESIGN STUDIO I,,1:00PM - 6:00PM MWF  ,10
159,10047,ARCH 503 001,CORE DESIGN STUDIO III,,1:00PM - 6:00PM MWF  ,10
160,11516,ARCH 503 002,CORE DESIGN STUDIO III,,1:00PM - 6:00PM MWF  ,10
161,13626,ARCH 507 001,TECHNOLOGY I,,1:00PM - 2:15PM TR ,3
162,12064,ARCH 514 001,TECHNOLOGY III,,4:00PM - 5:15PM TR  ,3
163,11362,ARCH 525 001,INTRO ARCHITECTURAL THINKING,"Geiser, Reto",9:25AM - 10:40AM TR  ,3
164,10313,ARCH 600 0F1,M. ARCH. I INTERNSHIP,"Finley, Dawn M.",  ,1 TO 15
165,10048,ARCH 601 001,ARCHITECTURAL PROBLEMS:STUDIO,,1:00PM - 6:00PM MWF  ,10
166,11517,ARCH 601 002,ARCHITECTURAL PROBLEMS:STUDIO,,1:00PM - 6:00PM MWF  ,10
167,10721,ARCH 610 7F1,"HIST, THEORY & STRUCTR: PARIS","Casbarian, John J.",  ,6
168,10049,ARCH 620 7F1,ARCHITECTURAL PROBLEMS,"Casbarian, John J.",1:00PM - 5:59PM MWF  ,10
169,12073,ARCH 623 001,PROF&MGMT IN ARCH PRACTICE,"Fleishacker, Alan L.",2:30PM - 3:45PM TR  ,3
170,13696,ARCH 646 001,FOUNDATIONS IN ARCH II,,10:50AM - 12:05PM TR ,3
171,10367,ARCH 690 001,PEDAGOGY PRACTICUM,"Finley, Dawn M.",  ,3
172,10342,ARCH 700 001,PRACTICUM,"Finley, Dawn M.",  ,3
173,10728,ARCH 703 001,DESIGN THESIS STUDIO,,1:00PM - 6:00PM MWF  ,10
174,10050,ARCH 711 001,SPECIAL PROJECTS,"Finley, Dawn M.",  ,1 TO 9
175,10746,ARCH 729 001,FALL WRITTEN THESIS,,  ,3
176,15770,ARCR 478 001,THE CARIBBEAN IN FRENCH,,1:00PM - 1:50PM MWF ,3
177,10611,ARTS 165 001,BEGINNING SCULPTURE,"Tam, Kenneth",9:00AM - 11:50AM TR ,3
178,14776,ARTS 165 002,BEGINNING SCULPTURE,"Lapinski, Lisa",1:00PM - 3:50PM TR ,3
179,11659,ARTS 225 001,BEGINNING DRAWING,"Bernstein, Josh",1:00PM - 3:50PM TR ,3
180,14114,ARTS 225 002,BEGINNING DRAWING,"Fowler, Will",9:00AM - 11:50AM MW ,3
181,15827,ARTS 225 003,BEGINNING DRAWING,"Bernstein, Josh",6:00PM - 8:50PM TR ,3
182,15619,ARTS 237 001,IN-PERFORMANCE,"Mays, Devin T.",10:00AM - 12:05PM MW ,3
183,10513,ARTS 280 001,HISTORY & AESTHETICS OF FILM,"Dove, Charles",1:00PM - 4:50PM M ,4
184,11660,ARTS 301 001,BEGINNING PAINTING,"Fowler, Will",1:00PM - 3:50PM MW ,3
185,13506,ARTS 301 003,BEGINNING PAINTING,,9:00AM - 11:50AM MW ,3
186,13500,ARTS 311 002,BEGINNING PRINTMAKING,"Masterson, Patrick D.",1:00PM - 3:50PM TR ,3
187,15379,ARTS 312 001,RELIEF I,"Masterson, Patrick D.",6:00PM - 8:50PM TR ,3
188,15620,ARTS 325 001,LIFE DRAWING,,6:00PM - 8:50PM MW ,3
189,14117,ARTS 326 001,COLLAGE,"Fowler, Will",6:00PM - 8:50PM MW ,3
190,10358,ARTS 327 001,DOCUMENTARY PRODUCTION,"Huberman, Brian M.",2:30PM - 5:29PM R ,3
191,10228,ARTS 388 001,CRIT STUDIES STUDIO PRACTICE,"Bernstein, JoshHainley, Bruce",10:50AM - 12:05PM TR ,3
192,13280,ARTS 401 001,PAINTING STUDIO,"Sparagana, John L.",1:00PM - 3:50PM MW ,3
193,13742,ARTS 432 001,FILM GENRE: THE WESTERN,"Huberman, Brian M.",7:00PM - 9:50PM T ,3
194,10249,ARTS 499 001,SENIOR STUDIO,"Lapinski, LisaTam, Kenneth",6:00PM - 8:50PM TR ,3
195,14358,ASIA 219 001,MODERN JAPAN,"Lu, Sidney",9:25AM - 10:40AM TR ,3
196,15488,ASIA 221 001,LIFE OF PROPHET MUHAMMAD,"Cook, David B.",11:00AM - 11:50AM MWF ,3
197,14401,ASIA 222 001,WORLD AND SOUTH ASIA,"Srinivasan, Ragini Tharoor",9:25AM - 10:40AM TR ,3
198,15256,ASIA 223 001,SOUTH ASIAN STUDIES,"Balabanlilar, Lisa A.Huntington, Eric R.",2:00PM - 3:15PM MW ,3
199,15257,ASIA 302 001,ASIAN PHILOSOPHY IN CONTEXT,"Huntington, Eric R.",4:00PM - 5:15PM MW ,3
200,15258,ASIA 305 001,ETHNOGRAPHY IN/OF HOUSTON ASIA,"Ryang, Sonia",1:00PM - 3:30PM R ,3
201,15648,ASIA 360 001,CHINA AND THE CHINESE DIASPORA,"Lewis, Steven W.",7:00PM - 9:50PM T ,3
202,15486,ASIA 378 001,CROSS-CULTURAL ASIAN MUSIC,"Chen, Shih-Hui",4:00PM - 6:20PM R ,3
203,14362,ASIA 380 001,ASIAN AMERICAN HISTORY,"Lu, Sidney",10:50AM - 12:05PM TR ,3
204,13380,ASIA 495 001,ASIAN STUDIES RESEARCH SEM,"Lewis, Steven W.",7:00PM - 9:50PM W ,3
205,12306,ASTR 101 001,"STARS, GALAXIES & THE UNIVERSE","Reiter, Megan",9:25AM - 10:40AM TR ,3
206,14056,ASTR 102 001,EXPLORATN OF THE SOLAR SYSTEM,"Levy, Eugene H.",2:30PM - 3:45PM TR ,3
207,12740,ASTR 350 002,INTRO ASTROPHYSICS-STARS,"Isella, Andrea",10:50AM - 12:05PM TR ,3
208,12810,ASTR 400 001,UNDERGRADUATE RESEARCH SEMINAR,,12:00PM - 12:50PM W ,1
209,10282,ASTR 451 001,ASTROPHYSICS I: SUN AND STARS,"Johns-Krull, Christopher M.",11:00AM - 11:50AM MWF ,3
210,14334,ASTR 461 001,INDEPENDENT RESEARCH,"Hartigan, Patrick M.", ,1 TO 6
211,10209,ASTR 470 001,SOLAR SYSTEM PHYSICS,"Alexander, David",2:30PM - 3:45PM TR ,3
212,12811,ASTR 500 001,GRADUATE RESEARCH SEMINAR,,12:00PM - 12:50PM W ,1
213,15351,ASTR 502 001,TEACHNG EARTH & SPACE SCIENCE,"Reiff, Pat",6:00PM - 8:50PM M ,3
214,15352,ASTR 542 001,NEBULAR ASTROPHYSICS,"Hartigan, Patrick M.",1:00PM - 1:50PM MWF ,3
215,15353,ASTR 565 001,COMPACT OBJECTS,"Baring, Matthew G.",1:40PM - 2:55PM MW  ,3
216,10744,ASTR 570 001,SOLAR SYSTEM PHYSICS,"Alexander, David",2:30PM - 3:45PM TR  ,3
217,15685,BIOE 123 001,BIAS AND MEDICAL DEVICE DESIGN,"Abidi, Sabia Z.Panahi, Hesam M.",12:00PM - 12:50PM M ,1
218,10084,BIOE 252 001,BIOENGINEERING FUNDAMENTALS,"Ramos, Renata F.",10:00AM - 10:50AM MWF ,4
219,12551,BIOE 341 001,CELL & MOL BIOL FOR ENGINEERS,"Segatori, Laura",10:50AM - 12:05PM TR ,3
220,11677,BIOE 365 001,SUST WTR PURIF FOR DEV WORLD,"Loyo Rosales, Jorge E.",11:00AM - 12:15PM MW ,3
221,10213,BIOE 370 001,BIOMATERIALS,"Mikos, Antonios G.",11:00AM - 12:20PM MWF ,3
222,14886,BIOE 380 002,INTRO TO NEUROENGINEERING,"Young, Joseph D.",2:00PM - 3:15PM MW ,3
223,14623,BIOE 383 002,BIOMED ENGINR INSTRUMENTATION,"Tkaczyk, Tomasz",9:25AM - 10:40AM TR ,3
224,10211,BIOE 385 002,BIOMEDICAL INSTRUMENTATION LAB,"Long, James",1:00PM - 4:00PM W ,1
225,10212,BIOE 385 003,BIOMEDICAL INSTRUMENTATION LAB,"Long, James",1:00PM - 3:59PM R ,1
226,13924,BIOE 385 004,BIOMEDICAL INSTRUMENTATION LAB,"Long, James",1:00PM - 4:00PM M ,1
227,14898,BIOE 392 001,NEEDS FINDING & DEV IN BIOE,"Ghosn, Bilal",1:00PM - 2:15PM TR ,3
228,10086,BIOE 400 001,ENGINEERING UG RESEARCH,"Ghosn, Bilal", ,1 TO 4
229,11512,BIOE 401 011,UNDERGRADUATE RESEARCH,"Ghosn, Bilal", ,1 TO 4
230,11961,BIOE 420 001,TRANSPORT PHENOMENA IN BIOE,,11:00AM - 12:15PM MWF ,3
231,12153,BIOE 422 001,GENE THERAPY,"Szablowski, Jerzy",2:00PM - 3:15PM MW ,3
232,15692,BIOE 432 001,"BIOEMANUFACTURING, SUS. & ECON","Lu, George",3:30PM - 4:45PM MW ,3
233,10651,BIOE 440 001,STATISTICS FOR BIOENGINEERING,"Ghosn, Bilal",9:25AM - 10:40AM TR ,1
234,12706,BIOE 443 002,BIOPROCESSING LAB MODULE,"Ghosn, Bilal",1:00PM - 5:59PM W ,1
235,15403,BIOE 446 001,COMPUTATIONAL MODELING LAB,"Ghosn, BilalIgoshin, Oleg",1:00PM - 4:00PM F ,1
236,12708,BIOE 447 002,DIG DES & VIS,"Ghosn, Bilal",1:00PM - 4:59PM M ,1
237,12711,BIOE 449 004,MED BIOENGINEERING WORKSHOP,"Abidi, Sabia Z.",1:00PM - 5:59PM T ,1
238,10087,BIOE 451 001,BIOENGINEERING DESIGN I,"Abidi, Sabia Z.Nejad, Jasmine",8:30AM - 9:50AM MWF ,4
239,11414,BIOE 454 001,COMPUTATIONAL FLUID MECHANICS,"Tezduyar, Tayfun E.",9:25AM - 10:40AM TR ,3
240,12857,BIOE 492 001,SENSORY NEUROENGINEERING,"Raphael, Rob",2:30PM - 3:45PM TR ,3
241,10088,BIOE 500 001,GRADUATE RESEARCH,"Bao, Gang",  ,1 TO 15
242,10758,BIOE 500 002,GRADUATE RESEARCH,"Diehl, Michael R.",  ,1 TO 15
243,10759,BIOE 500 003,GRADUATE RESEARCH,"Diehl, Michael R.",  ,1 TO 15
244,10760,BIOE 500 004,GRADUATE RESEARCH,"Drezek, Rebekah A.",  ,1 TO 15
245,10761,BIOE 500 005,GRADUATE RESEARCH,"Farach-Carson, Cindy",  ,1 TO 15
246,10762,BIOE 500 006,GRADUATE RESEARCH,"Grande-Allen, K. Jane",  ,1 TO 15
247,10763,BIOE 500 007,GRADUATE RESEARCH,"Igoshin, Oleg",  ,1 TO 15
248,10764,BIOE 500 008,GRADUATE RESEARCH,"Veiseh, Omid",  ,1 TO 15
249,10765,BIOE 500 010,GRADUATE RESEARCH,"Ma, Jianpeng",  ,1 TO 15
250,10766,BIOE 500 011,GRADUATE RESEARCH,"Mikos, Antonios G.",  ,1 TO 15
251,10767,BIOE 500 012,GRADUATE RESEARCH,"Miller, Jordan S.",  ,1 TO 15
252,10768,BIOE 500 013,GRADUATE RESEARCH,"Pasquali, Matteo",  ,1 TO 15
253,10769,BIOE 500 015,GRADUATE RESEARCH,"Raphael, Rob",  ,1 TO 15
254,10770,BIOE 500 016,GRADUATE RESEARCH,"Richards-Kortum, Rebecca R.",  ,1 TO 15
